name,address,phone,supID
Gola PLC,"246/38 Main Road, Delhi, Delhi",+91-7650009532,81
"Chada, Mall and Parmar","200/84 Main Road, Hyderabad, Telangana",+91-9295082407,82
Atwal-Tiwari,"764/19 Main Road, Hyderabad, Telangana",+91-7518403385,83
"Date, Dhaliwal and Choudhry","292/41 Main Road, Hyderabad, Telangana",+91-8001611398,84
Walia Ltd,"214/40 Main Road, Bengaluru, Karnataka",+91-8548674468,85
"Gaba, Lanka and Madan","907/83 Main Road, Hyderabad, Telangana",+91-7295524860,86
Goswami Group,"201/22 Main Road, Lucknow, Uttar Pradesh",+91-8754475527,87
Gola PLC,"840/6 Main Road, Hyderabad, Telangana",+91-8713165048,88
Chokshi Group,"392/92 Main Road, Pune, Maharashtra",+91-7056959542,89
"Salvi, Gulati and Thaman","719/48 Main Road, Lucknow, Uttar Pradesh",+91-8359772649,90
"Rai, Apte and Koshy","723/32 Main Road, Kolkata, West Bengal",+91-8125416982,91
Khosla-Hans,"934/69 Main Road, Delhi, Delhi",+91-7478887059,92
Srivastava Inc,"234/2 Main Road, Delhi, Delhi",+91-9252244338,93
"Pillai, Nair and Bhardwaj","836/47 Main Road, Chennai, Tamil Nadu",+91-9591992596,94
Oak-Ratta,"260/95 Main Road, Delhi, Delhi",+91-7759933246,95
Nagy and Sons,"137/53 Main Road, Bengaluru, Karnataka",+91-8954671587,96
"Varughese, Bal and Kuruvilla","717/55 Main Road, Pune, Maharashtra",+91-8419104273,97
Dhawan-Bhasin,"746/42 Main Road, Hyderabad, Telangana",+91-9272856704,98
"Gill, Kapadia and Wagle","301/42 Main Road, Pune, Maharashtra",+91-8636306370,99
Dora-Kakar,"920/66 Main Road, Hyderabad, Telangana",+91-8591529473,100
